time,open,high,low,close
2015-11-16,320.8,342.5,309.46,324.66
2015-11-23,324.66,376,315.55,373.89
2015-11-30,373.84,407.57,346.13,390.6
2015-12-07,390.88,475.04,384.53,433.36
2015-12-14,432.91,469.99,427.3,442.62
2015-12-21,442.62,460.05,405.5,422.32
2015-12-28,421.82,436.49,412.5,428.39
2016-01-04,428.63,465,425.03,449.35
2016-01-11,449.34,452.49,352.5,382.02
2016-01-18,382.11,428,371.25,402.77
2016-01-25,402.76,402.77,360.03,365.52
2016-02-01,365.58,393.89,363.23,372.01
2016-02-08,372.26,408.66,369.01,408.3
2016-02-15,408.3,451.6,395.23,440.49
2016-02-22,440.49,442.67,409.69,434.45
2016-02-29,434.46,445,389,403.75
2016-03-07,403.77,423.6,401.51,411.87
2016-03-14,412,420.6,403.01,411.25
2016-03-21,410.81,431,406,427.36
2016-03-28,427.34,427.99,406.51,420.6
2016-04-04,420.99,425,412,421.32
2016-04-11,421.32,435.67,418.8,428.51
2016-04-18,428.51,464.99,426.52,463.02
2016-04-25,463.33,471.99,435,451.11
2016-05-02,451.12,466,436,459.87
2016-05-09,459.88,465.4,445.01,457.89
2016-05-16,457.95,458.95,433,437.48
2016-05-23,437.4,570,436.51,531
2016-05-30,529.97,593.89,518,574.02
2016-06-06,574.01,685,561.3,672
2016-06-13,671.98,789.78,656.51,767.3
2016-06-20,767.31,767.77,555.56,639.4175
2016-06-27,632.50975,704.3075,624.1025,659.085
2016-07-04,659.7,682.665,609.87225,650.315
2016-07-11,650.9325,684.435,644.43375,680.4525
2016-07-18,680.0625,683.965,645.30375,662.4515
2016-07-25,661.565,663.69625,619.6275,624.22
2016-08-01,624.125,628.249,470.91,594.2525
2016-08-08,594.3775,601.7725,562.2075,571.5025
2016-08-15,571.4975,583.7725,559.56475,580.055
2016-08-22,580.01,588.46575,566.51025,574.41075
2016-08-29,575.1475,613.675,568.329,608.2625
2016-09-05,609.40725,630.665,593.3805,607.069
